Nazwisko aktualne,Liczba
KUPFERSCHMIDT,60
KURTO,60
KUTARNIA,60
KUZAWSKI,60
LAMBERSKI,60
LAMPE,60
LĄG,60
LEGINOWICZ,60
LEKSZA,60
LERKE,60
LEWOŃCZUK,60
LING,60
LIPOWIEC,60
LISZNIAŃSKI,60
LOSSY,60
LUCAS,60
LUCHKA,60
ŁABAZ,60
ŁADYSZ,60
ŁAPTAŚ,60
ŁAWIAK,60
ŁAWRENIUK,60
ŁOZDOWSKI,60
ŁUBOCKI,60
ŁUKARSKI,60
ŁUKSZO,60
MAGDZIK,60
MAJOROWICZ,60
MAKUKHA,60
MALINOŚ,60
MARASIK,60
MARCEWICZ,60
MARCZUKIEWICZ,60
MARGLEWSKI,60
MARTYNCHUK,60
MARZOTKO,60
MAŚLOCH,60
MATERN,60
MATHIA,60
MĄKOS,60
MEKSA,60
MELNICHENKO,60
MENDRZYCKI,60
METZLER,60
MIGULSKI,60
MIRONOV,60
MITRUK,60
MIZIEWICZ,60
MLECZAREK,60
MOCKI,60
MOCZYBRODA,60
MOROZIK,60
MORYCZ,60
MURAL,60
MURLEWSKI,60
MUSZKAT,60
MUZYKANT,60
MYCIELSKI,60
MYKOLIUK,60
NABRZESKI,60
NAGACZ,60
NALEWAJCZYK,60
NARANOWICZ,60
NASIEK,60
NAWARYŃSKI,60
NELDNER,60
NIELEPIEC,60
NIKONOV,60
NIKOROWSKI,60
NOISZEWSKI,60
NOWASTOWSKI,60
NOWIERSKI,60
OBERTYN,60
OBRĘPALSKI,60
OBSADNY,60
ODEBRALSKI,60
OGŁÓDEK,60
OLCZYŃSKI,60
ORDZINIAK,60
OSYSEK,60
OŚWIT,60
OWCZAR,60
OZIEMBAŁA,60
PANUCIAK,60
PANUSZEWSKI,60
PAPADOPOULOS,60
PARASIŃSKI,60
PARZYDŁO,60
PASZYNA,60
PATIL,60
PATRYCY,60
PAWLIC,60
PAWLUKANIS,60
PAWŁOCKI,60
PĄTEK,60
PEJAŚ,60
PELED,60
PENKUL,60
PENO,60
PERC,60
PERDIAN,60
PIKTAS,60
PIOJDA,60
PITA,60
PLAMINIAK,60
PŁAŻALSKI,60
PŁESKA,60
PŁODZISZEWSKI,60
POŁOWSKI,60
POŁUSZAŃCZYK,60
POMIETLARZ,60
POPE,60
POPERECHNYI,60
POPIL,60
PORYSZEWSKI,60
POŚLEDNI,60
PÓŁGRABSKI,60
PRASOLIK,60
PRĄCIK,60
PROENA,60
PRZEMIENIECKI,60
PRZYCKI,60
PULCER,60
RACHULA,60
RACZUK,60
RAIS,60
RAJTAROWSKI,60
RAMPALSKI,60
REINHARD,60
REJMANN,60
ROLF,60
RORÓG,60
ROSOWICZ,60
ROSSOCHACKI,60
ROŚCZAK,60
ROTHKEGEL,60
ROUBA,60
RÓŻA,60
RUSOŁ,60
RYCHWICKI,60
RYMOWICZ,60
RYPYŚĆ,60
RZECHTALSKI,60
RZEKANOWSKI,60
RZYCZNIOK,60
SABINIAK,60
SACHAJDAK,60
SACHARKO,60
SAID,60
SAKRA,60
SAMORAJSKI,60
SANIUKIEWICZ,60
SANTYSIAK,60
SARUL,60
SĄCZEWSKI,60
SCHMITT,60
SEBASTIANOWICZ,60
SEMIANIUK,60
SENCZEK,60
SENYSZYN,60
SEREJKO,60
SIELUŻYCKI,60
SIEMIENIAKA,60
SIENIEWICZ,60
SIERZCHAŁA,60
SKARBECKI,60
SKRYPAK,60
SŁOMOWSKI,60
SMELIK,60
SMOLIBOWSKI,60
SOBOTOWSKI,60
SOLIŁO,60
SOŁOŃ,60
SOŁTYŃSKI,60
SOROCHYNSKYI,60
SPYRCZAK,60
STACHORZECKI,60
STANDERA,60
STANDURA,60
STANKOWICZ,60
STARAKIEWICZ,60
STARGAŁA,60
STASHKO,60
STASIŁO,60
STASKA,60
STOICA,60
STOSZEWSKI,60
STROJKOWSKI,60
STROSIN,60
STRYJAKOWSKI,60
STRZYKOWSKI,60
SUJATA,60
SUŁOCHA,60
SUMYK,60
SVIDERSKYI,60
SVYRYD,60
SYMBER,60
SYROWY,60
SZABACIUK,60
SZAC,60
SZAJDAK,60
SZCZAKIEL,60
SZCZERBACZ,60
SZCZYGIEŁEK,60
SZEMBERG,60
SZERAFIN,60
SZĘDZIOŁ,60
SZKURAT,60
SZLACHCIUK,60
SZMARAGOWSKI,60
SZMIDTKA,60
SZNAJDEROWICZ,60
SZOBAK,60
SZPETNAR,60
SZPLITT,60
SZTENCEL,60
SZTRAUCH,60
SZTUCHLIK,60
SZUCHALSKI,60
SZULCEK,60
SZULTK,60
SZUSZKOWSKI,60
SZWARCZAK,60
SZWEDT,60
SZYŁO,60
SZYMCZAKIEWICZ,60
SZYMKUN,60
SZYNCEL,60
SZYNGIERA,60
ŚCIERANKA,60
ŚMICHURA,60
ŚMIST,60
ŚWIĄTAŃSKI,60
ŚWITLIŃSKI,60
TAGOWSKI,60
TAŁAJKOWSKI,60
TATUŚKO,60
TERENDA,60
TODORCZUK,60
TREJSTER,60
TREPNER,60
TRZECIOK,60
TULEC,60
TWARDZICKI,60
TYMOSZEWSKI,60
TYTKOWSKI,60
ULAWSKI,60
ULEWIŃSKI,60
USZAK,60
VARABYOU,60
VIETROV,60
WALACHNIEWICZ,60
WALD,60
WALENDZIEWSKI,60
WANDOWSKI,60
WARNICKI,60
WASYŃCZUK,60
WATYCHA,60
WICH,60
WICIKOWSKI,60
WILPERT,60
WITEREK,60
WŁADOWSKI,60
WŁOŚ,60
WOJDACKI,60
WOJNECKI,60
WOJSZKUN,60
WONORSKI,60
WOTZKA,60
WUJCIKOWSKI,60
WYTYKOWSKI,60
WZIĘCH,60
YANUSH,60
YUN,60
YURCHYSHYN,60
ZACHARYASZ,60
ZAGAJNY,60
ZAMEL,60
ZAN,60
ZAWIDLAK,60
ZAWIEROWSKI,60
ZDYRSKI,60
ZDZIEBCZOK,60
ZEMKA,60
ZENKNER,60
ZIÓŁECKI,60
ZWOLENNIK,60
ZWOLEŃ,60
ŻAGAN,60
ŻEMAJDUK,60
ŻWAKA,60
ŻYCHNIEWICZ,60
ŻYDOWO,60
ŻYLIK,60
ACAR,59
ACELA,59
ALAMENCIAK,59
ANGIER,59
ANYŻEWSKI,59
AUGUSIAK,59
AZAREWICZ,59
BABCZYSZYN,59
BALZER,59
BAŃCARZ,59
BAZNER,59
BAZYLIUK,59
BEBEROK,59
BEREHOVYI,59
BERES,59
BERNADYN,59
BEYGA,59
BIAŁASIŃSKI,59
BIEDZIUK,59
BIEGUŃSKI,59
BIERNATOWSKI,59
BILEK,59
BLECHARSKI,59
BOGNACKI,59
BOGUTYN,59
BOJCZEWSKI,59
BOJNOWSKI,59
BONOWSKI,59
BORNOWSKI,59
BORSZYŃSKI,59
BORTLISZ,59
BORYSOW,59
BORZYMEK,59
BOSAKOWSKI,59
BOSIŃSKI,59
BOYCHUK,59
BRALIŃSKI,59
BRONHARD,59
BRYSZAK,59
BRZEŻEK,59
BRZUŚNIAN,59
BUDZIWOJSKI,59
BULAKH,59
BULUT,59
BURCHAŁA,59
BZDEŃ,59
CELEWICZ,59
CENTAŁA,59
CHABEL,59
CHANKOWSKI,59
CHENDOSZKO,59
CHILMANOWICZ,59
CHLUPKA,59
CHOJCZAK,59
CHREBELA,59
CHUDOWSKI,59
CHWAŁCZYŃSKI,59
CIBIŃSKI,59
CIELĘCY,59
CIERZUCH,59
CIONEK,59
COJG,59
CZEMPKA,59
CZERNACHOWSKI,59
ĆWIAN,59
DAKSZEWICZ,59
DANISEWICZ,59
DARCZYŃSKI,59
DAVTYAN,59
DEMITRASZEK,59
DEPTULSKI,59
DERLAK,59
DESPET,59
DŁUGOŃSKI,59
DMUCH,59
DOMOSUD,59
DOROSIEWICZ,59
DRAWERT,59
DRYŻAŁOWSKI,59
DUDLIK,59
DUR,59
DUŻYJA,59
DYAS,59
DYBACKI,59
DYDZIŃSKI,59
DYHDALEWICZ,59
DYJEWSKI,59
DYPOLT,59
DYZIAK,59
DYŻEWSKI,59
DZIUGAN,59
DZIWNIEL,59
DZODZ,59
DŻYGAŁO,59
ELJASIAK,59
ELWARD,59
EMERT,59
FALKO,59
FARBICKI,59
FEDASZ,59
FELLER,59
FIGOŃ,59
FIUTY,59
FLORJAN,59
FOJNA,59
FRANCIS,59
FREJTAG,59
FULEK,59
FURGALIŃSKI,59
GABSKI,59
GAGOŚ,59
GASPARYAN,59
GAUTAM,59
GĄSIOROWICZ,59
GĄSIORSKI,59
GEMSKI,59
GERTZ,59
GICZELA,59
GIEDŹ,59
GIŃKO,59
GŁYDZIAK,59
GODZICH,59
GOMBARCZYK,59
GONDOREK,59
GRABAŁOWSKI,59
GRACEK,59
GRAJBER,59
GREMLIK,59
GRONIECKI,59
GRUCZYK,59
GRYĆ,59
GRYMA,59
GUZIKIEWICZ,59
GWÓZDEK,59
HAJDYSZ,59
HAJNISZ,59
HANUSIEWICZ,59
HARMATIUK,59
HASIKOWSKI,59
HAŚCIŁO,59
HENKELMAN,59
HERSZEL,59
HILTAWSKI,59
HNATKO,59
HOHEISEL,59
HOI,59
HOLLI,59
HORDYNIEC,59
HORIN,59
HUBSKYI,59
HYCZA,59
HYNAS,59
INGLIK,59
ISAIENKO,59
IVASHKO,59
IWANICZKO,59
IZBAN,59
JABROCKI,59
JACENKO,59
JACHUŁA,59
JADACHOWSKI,59
JAKOCIUK,59
JAŁA,59
JANACZ,59
JANAKIEWICZ,59
JARACHOWSKI,59
JONIUK,59
JOSICZ,59
JUCHIEWICZ,59
JUNDZIŁŁ,59
JURCEWICZ,59
JURKOWLANIEC,59
JUSZKOWSKI,59
KAC,59
KAŁAMAŁA,59
KANCIAŁA,59
KARAWAN,59
KAROLONEK,59
KASIANCHUK,59
KAZAKEVICH,59
KEISTER,59
KIDULA,59
KIELIN,59
KILIK,59
KILIMAN,59
KIRDZIK,59
KIRSZNER,59
KIRYLAK,59
KLIEM,59
KLIMASZKA,59
KLOZYK,59
KLUPSCH,59
KŁOBUSIŃSKI,59
KŁYSZYŃSKI,59
KNAPPE,59
KNAS,59
KNYSPEL,59
KOCIMOWSKI,59
KOCUJ,59
KOKŁOWSKI,59
KOLARY,59
KOLINSKI,59
KOŁOTYŁO,59
KONTOR,59
KOPRZYWA,59
KOSTARSKI,59
KOŚCISTY,59
KOTUSZ,59
KOZANKIEWICZ,59
KRAWNIAK,59
KRĘPULEC,59
KROKWA,59
KRUHLIAK,59
KRYMKOWSKI,59
KRZYSZEWSKI,59
KRZYSZKOWIAK,59
KUBAJA,59
KUBALAŃCA,59
KUBALKA,59
KUPIEŃ,59
KUPRIIANOV,59
KURCIŃSKI,59
KURDZIEKO,59
KURON,59
KURR,59
KUTRYN,59
KUTWA,59
KUŹBIEL,59
LAMBER,59
LANCZEWSKI,59
LANGENFELD,59
LAPKO,59
LARSKI,59
LEDWOROWSKI,59
LEGOCKI,59
LENGLING,59
LEWOWSKI,59
LIBUCHA,59
LINDEMANN,59
LINSTEDT,59
LOCHER,59
LODUCHOWSKI,59
LORENTZ,59
LOSY,59
LUBERECKI,59
LUBOSIK,59
LURA,59
LUTHER,59
ŁABACKI,59
ŁACINNIK,59
ŁAPICKI,59
ŁATUSZYŃSKI,59
ŁĘKOWSKI,59
ŁOBASIUK,59
ŁUSZCZYN,59
MADURAJSKI,59
MAGALA,59
MAGDALEŃSKI,59
MAGREAN,59
MAINDOK,59
MAJSTERKIEWICZ,59
MALETKA,59
MALUHA,59
MANJURA,59
MARKUCIŃSKI,59
MASICZ,59
MASZYNA,59
MAŚLISZ,59
MATŁACH,59
MEHR,59
MICHAJŁOWSKI,59
MICHLA,59
MICIGOLSKI,59
MIERNOWSKI,59
MIJEWSKI,59
MIKHAILAU,59
MILTYK,59
MISTUR,59
MIZERKIEWICZ,59
MIZIURA,59
MNISZAK,59
MOLENDOWICZ,59
MOLISZEWSKI,59
MORRIS,59
MOSKALCZYK,59
MUSIELIK,59
MUSIKOWSKI,59
MYKAJ,59
MYŚKIEWICZ,59
MYŚLIN,59
NADYMUS,59
NAGAŃSKI,59
NARCZYK,59
NEY,59
NIEDBAŁO,59
NIEMCZAL,59
NIESMACZNY,59
NIKOŁAJCZUK,59
NOIŃSKI,59
NOREJKO,59
NOWOSIAK,59
NOWOSZEWSKI,59
NYKOLYSHYN,59
OBOŃSKI,59
OCETKIEWICZ,59
OCIEPSKI,59
OCIOS,59
OKLEJ,59
OLBRYT,59
OMILIANOWICZ,59
ORDECKI,59
ORTYŃSKI,59
ORYNIAK,59
OSIPACZ,59
OSIPCHUK,59
OTERSKI,59
OTREMBSKI,59
OWSIENIUK,59
PACHCIARZ,59
PADALKA,59
PAMIN,59
PAPIESKI,59
PARGULSKI,59
PATROWICZ,59
PATYKIEWICZ,59
PEDYNKOWSKI,59
PEPKE,59
PEREKITKO,59
PERŁAKOWSKI,59
PETRASHCHUK,59
PETTKA,59
PIĄSTA,59
PIENIĄCY,59
PIEROŃ,59
PIĘKNIEWSKI,59
PIKACZ,59
PILAR,59
PILIPIONEK,59
PILSZCZEK,59
PLESZYNIAK,59
PLISZ,59
PLOTTKE,59
PŁONCZYŃSKI,59
PŁOSZAŃSKI,59
POCIEJOWSKI,59
PODŁASZCZYK,59
POJĘTA,59
POKŁADOWSKI,59
POKORNOWSKI,59
POLACKI,59
POLAKOW,59
POSAK,59
POWSIŃSKI,59
PRAHL,59
PRĘTCZYŃSKI,59
PROSTEK,59
PUBANC,59
PUPKA LIPIŃSKI,59
PUTERLA,59
RADIO,59
RAGUZA,59
RAPIŃSKI,59
REGDOSZ,59
REPECKI,59
RĘBA,59
ROSPĘK,59
RUBACKI,59
RUDZIS,59
RUKŚĆ,59
RUPERT,59
RUZHYTSKYI,59
RYCIELSKI,59
RYGIEWICZ,59
RYNEK,59
RYZHUK,59
RZUCZKOWSKI,59
SACHAJSKI,59
SALICH,59
SAMECKI,59
SAPIEJEWSKI,59
SCHERER,59
SEGIT,59
SEIBERT,59
SEMPIK,59
SENECZKO,59
SENSKE,59
SENTOWSKI,59
SEREDZIUK,59
SHARON,59
SHAUCHUK,59
SHCHUKIN,59
SHTYK,59
SIENIUTA,59
SIGIEL,59
SILKO,59
SIMKOWSKI,59
SIPKA,59
SIUBER,59
SLEDZ,59
SMARSZ,59
SMERDZYŃSKI,59
SMOLINSKI,59
SMOLUCHOWSKI,59
SOBANTKA,59
SOBOTKOWSKI,59
SOJKOWSKI,59
SOŁDAN,59
SOŁDYGA,59
SORBAL,59
SPARZYŃSKI,59
STACHNIEWICZ,59
STANDERSKI,59
STANIUKIEWICZ,59
STEFFAN,59
STELMACZONEK,59
STRYSIK,59
STRZELICHOWSKI,59
STUCZYK,59
STUPIEC,59
SUCHERSKI,59
SUDNIKIEWICZ,59
SUDNIKOWICZ,59
SUDY,59
SULŻYŃSKI,59
SUMIEŃ,59
SUPERNIOK,59
SYPEL,59
SYPUŁEK,59
SYRZYCKI,59
SZADEJKO,59
SZAŁUCHA,59
SZARŻANOWICZ,59
SZECHYŃSKI,59
SZELONG,59
SZETELNICKI,59
SZLIJA,59
SZLOM,59
SZLOMPEK,59
SZMIGA,59
SZOŁKOWSKI,59
SZPIEG,59
SZPOTAN,59
SZULARZ,59
SZUMER,59
SZWAJLIK,59
SZYPLUK,59
SZYTUŁA,59
ŚLIŃSKI,59
ŚLOSAREK,59
ŚMIGAS,59
ŚWIECIK,59
TACKOWIAK,59
TĄDER,59
TECHMAN,59
TEMICH,59
TENENBAUM,59
THAMM,59
TOMIKOWSKI,59
TRAPKOWSKI,59
TROŚCIANKA,59
TRUBISZ,59
TSULAIA,59
TUMIALIS,59
TYMOSZEWICZ,59
TYRAK,59
ULCYFER,59
USZAKIEWICZ,59
WACHEK,59
WALCZY,59
WALICHOWSKI,59
WARYLAK,59
WARŻEL,59
WAŚLICKI,59
WEINAR,59
WEKWEJT,59
WĘŻYKOWSKI,59
WIERASZKO,59
WIERSKI,59
WIERZCHOŁEK,59
WIESZCZECIŃSKI,59
WIGIER,59
WŁOGA,59
WŁUDZIK,59
WOJTACHNIA,59
WOJTYNKA,59
WOLANIUK,59
WOLECKI,59
WORTOLEC,59
WOZOWCZYK,59
WOŹNIECKI,59
WÓLKIEWICZ,59
WYLENZEK,59
YAKOBCHUK,59
YANUSHKEVICH,59
ZAGOŹDZIŃSKI,59
ZAGWOCKI,59
ZAHAJKIEWICZ,59
ZAŁĘGA,59
ZASIK,59
ZAZULIŃSKI,59
ZDANOVICH,59
ZDZIEBLIK,59
ZELMANOWSKI,59
ZGID,59
ZHMURKO,59
ZIATYK,59
ZIEMLAŃSKI,59
ZVIERIEV,59
ZWIOR,59
ŹRÓDLAK,59
ŻOTKIEWICZ,59
ŻUKLIŃSKI,59
ŻYTNICKI,59
ABŁAŻEWICZ,58
ACHARYA,58
ACHINGER,58
ADRIANOWICZ,58
AGIER,58
AKOPIAN,58
ALASZEWICZ,58
ANASIAK,58
ANDRE,58
ANDRYAŃCZYK,58
APTOWICZ,58
ARASZCZUK,58
ARKUSIŃSKI,58
ASYNGIER,58
AZIMOV,58
BAGROWICZ,58
BAJEROWICZ,58
BALINA,58
BALTAZA,58
BANNA,58
BANNERT,58
BARDAK,58
BARTMIŃSKI,58
BARZYC,58
BĄDZELEWSKI,58
BENDRYN,58
BENERT,58
BERGAŃSKI,58
BESARAB,58
BETSCHER,58
BEZEG,58
BĘDLIN,58
BIAŁOWOLSKI,58
BIBA,58
BIBLIS,58
BIELANOWSKI,58
BILIAVSKYI,58
BINIAKOWSKI,58
BINIASZCZYK,58
BLUCHA,58
BOGDAŁA,58
BOGDZIO,58
BOJDAK,58
BOJZAN,58
BORSZOWSKI,58
BRADŁO,58
BRANDENBURG,58
BREWCZUK,58
BROMBERG,58
BROŻKO,58
BRUKARCZYK,58
BRZEWIŃSKI,58
BUBISZ,58
BUCK,58
BURKIET,58
BYBEL,58
BZDZIUCH,58
CAJZNER,58
CELA,58
CELIŃSKI-DROZD,58
CHACHLICA,58
CHAŁKOWSKI,58
CHARAZIAK,58
CHARIASZ,58
CHARUZA,58
CHATLIŃSKI,58
CHEJDUK,58
CHOŁOJCZYK,58
CHOMAĆ,58
CHROMNIAK,58
CHYŻOWSKI,58
CIEKANOWSKI,58
CIERNIOCH,58
CYRNY,58
CYRYL,58
CZADANKIEWICZ,58
CZEPIRSKI,58
CZIOMER,58
CZOSZYK,58
CZURYŁOWSKI,58
CZWARTKOWSKI,58
DASZYK,58
DEINEHA,58
DEINEKO,58
DEJNECKI,58
DEMIAN,58
DERBISZEWSKI,58
DIACZUK,58
DIDEK,58
DOMANIK,58
DORAJCZYK,58
DOSTAŁ,58
DRAJKOWSKI,58
DRATH,58
DUPLAK,58
DUROŁEK,58
DYGASIEWICZ,58
DYRAS,58
DYTWIŃSKI,58
DZIACZYŃSKI,58
DZIENDZIOŁ,58
DZIEWIECKI,58
DZIĘCIELAK,58
DŹWIGULSKI,58
ESMUND,58
EWKOWSKI,58
FABJANOWSKI,58
FALEJCZYK,58
FEDORCHAK,58
FEDUŃ,58
FENDOR,58
FENDRYK,58
FERREIRA,58
FIGLEROWICZ,58
FOLWACZNY,58
GAJCZYK,58
GANDZIARSKI,58
GDAWIEC,58
GENDARZ,58
GERSZTYN,58
GEWERT,58
GIEŁAŻYS,58
GIMLEWICZ,58
GIMZIŃSKI,58
GIRYN,58
GIZELSKI,58
GLANAS,58
GLIŚCIAK,58
GŁUŚ,58
GOCÓŁ,58
GOGOSZ,58
GOHRA,58
GOLAŁ,58
GOMOŁKA,58
GOSPOŚ,58
GÓRNECKI,58
GRACZAK,58
GRAMBURG,58
GRAMŚ,58
GRANATYR,58
GRANOWICZ,58
GRENDYSZ,58
GREUPNER,58
GROCHÓLSKI,58
GRYCIAK,58
GRYDZIUSZKO,58
GRZĄKA,58
GRZEBIELSKI,58
GRZYK,58
GULEC,58
GUŁOWSKI,58
HABCZYK,58
HANCZAREK,58
HAPAK,58
HAPTAŚ,58
HARCHALA,58
HEBDZIŃSKI,58
HINZMANN,58
HOLEWSKI,58
HOŁOJDA,58
HORWATH,58
HRENIAK,58
HRINCHENKO,58
HUBCZAK,58
HUBENKO,58
HUDOBA,58
HUNDZ,58
HYCIEK,58
HYŁKA,58
IWUĆ,58
IZMAJŁOWICZ,58
JACENIK,58
JAKIMIK,58
JANCEN,58
JANISZCZAK,58
JANISZKIEWICZ,58
JARUSZ,58
JASIECZEK,58
JASIENOWICZ,58
JASKURZYŃSKI,58
JASZKA,58
JERCHEL,58
JETKA,58
JORKA,58
JURGOWIAN,58
JURKIAN,58
JURSZEWICZ,58
JUZEK,58
KACINIEL,58
KAJSZCZAREK,58
KALACIŃSKI,58
KAMCZYCKI,58
KAMIENNIK,58
KANARKIEWICZ,58
KAPLUK,58
KARÓLCZAK,58
KAZANTSEV,58
KĄPAŁA,58
KECHER,58
KEREN,58
KIEŁBRATOWSKI,58
KIENDYŚ,58
KIESTRZYN,58
KLABIŃSKI,58
KLAMMER,58
KLAUSA,58
KLEINER,58
KLEMENZ,58
KLEPINOWSKI,58
KLINGSPORN,58
KOBYLCZAK,58
KOCHERHA,58
KOŁOMYJEC,58
KOŁTONIK,58
KOMOSZEWSKI,58
KOŃCZAREK,58
KOROSACKI,58
KORÓLCZYK,58
KORZYM,58
KOSTOV,58
KOSZCZYK,58
KOŚCIJAŃSKI,58
KOWALASZEK,58
KOWALESKI,58
KOZIEROWSKI,58
KRĘPIC,58
KROKOWICZ,58
KROMPIEC,58
KRYSZYŁOWICZ,58
KUCZBAŃSKI,58
KUDOŃ,58
KUDREJ,58
KUKURUDZA,58
KURCEK,58
KURZYMSKI,58
KURZYNKA,58
KUSIA,58
KUTOVYI,58
KUTRZYK,58
KUZIEMKA,58
KWITKOWSKI,58
LAHODA,58
LAM,58
LANGFORT,58
LEBED,58
LEKTARSKI,58
LENCZKIEWICZ,58
LENTKA,58
LEONENKO,58
LEONIEWSKI,58
LEPSIK,58
LESHKO,58
LEWANIAK,58
LIPONOGA,58
LISHCHENKO,58
LISKA,58
LITEWIAK,58
LUTOSŁAWSKI,58
ŁAGUN,58
ŁANIEC,58
ŁANIUCHA,58
ŁAŚKO,58
ŁOCHINA,58
ŁODOŻYŃSKI,58
MACEŁKO,58
MAJSAKOWSKI,58
MAKSIMIK,58
MALAI,58
MALESSA,58
MALUCH,58
MALUJDY,58
MAMORSKI,58
MANSOUR,58
MATLUCH,58
MĄTOWSKI,58
MENCFELD,58
MERWA,58
MĘDELA,58
MIECIŃSKI,58
MIEDZAK,58
MIESZKO,58
MIŁCZAK,58
MINC,58
MISALSKI,58
MISAN,58
MISIARA,58
MISIARCZYK,58
MISZAŁOWSKI,58
MOCZADŁOWSKI,58
MOKRZAŃSKI,58
MOSZCZEŃSKI,58
MROSS,58
MUDŁO,58
MURADYAN,58
MUSIAK,58
MYSZOGRAJ,58
NADULNY,58
NAJBERT,58
NAURECKI,58
NICZE,58
NIEBOJ,58
NIESTEROWICZ,58
NIESTRATA,58
NIKOLAJCZYK,58
NOVÁK,58
OCHĘDALSKI,58
OCYPA,58
ODRAKIEWICZ,58
ODZIEMSKI,58
OKOPIEŃ,58
OKSZTULSKI,58
OLEJARCZUK,58
OLEKSIV,58
OLEKSZY,58
OLSHEVSKYI,58
OŁTUSEK,58
OŁUB,58
ORDOŃSKI,58
OSIECZKO,58
OSIPIŃSKI,58
OSORA,58
OSZWA,58
OŚLIŹLOK,58
OWANEK,58
OWCZARKOWSKI,58
OŹLAŃSKI,58
PACHARZYNA,58
PACIUSZKIEWICZ,58
PAKALSKI,58
PALKI,58
PAŁUKA,58
PAROBCZAK,58
PARZYBÓT,58
PAULOVICH,58
PAWĘTA,58
PAWLASZEK,58
PAZIŃSKI,58
PEKA,58
PETYNIA,58
PIECHOTTA,58
PIECHUŁA,58
PIEŃKOŚ,58
PIESOWICZ,58
PIEŚLA,58
PIETRENIUK,58
PIETRUCZYK,58
PIŁCZYŃSKI,58
PIWOWSKI,58
PLESZYŃSKI,58
PLUSKWIK,58
PŁOWY,58
PODCZASI,58
PODLADOWSKI,58
PODSKOK,58
POŁONCARZ,58
POPCZAK,58
POPELA,58
POPKOWICZ,58
POUCH,58
POŹDZIEJ,58
PREGIEL,58
PRZEZAK,58
PRZYBILLA,58
PRZYBUŁOWSKI,58
PRZYPADŁO,58
PRZYSZLAKOWSKI,58
PUCZ,58
PUCZYDŁOWSKI,58
PUSZTUK,58
PYRZOWSKI,58
RAIDA,58
RAJKO,58
RAPACEWICZ,58
RASULOV,58
RAWDANOWICZ,58
REBIZAK,58
RECHETA,58
RELISZKO,58
RENNER,58
REYMAN,58
RĘDZIOCH,58
RIEZNIK,58
ROBACZEK,58
ROGASIK,58
ROSNOWSKI,58
ROŻAŃSKI,58
ROŻENTALSKI,58
RUBIECKI,58
RUSANOV,58
RUSZLEWICZ,58
RYBACHOK,58
RYBIN,58
RYMCZUK,58
RYZHENKO,58
SALKIEWICZ,58
SAMULNIK,58
SANIN,58
SAUCHANKA,58
SAVA,58
SCHMITZ,58
SCHREIER,58
SCHWABE,58
SDZUJ,58
SEMEŃCZUK,58
SERWADCZAK,58
SĘKIELEWSKI,58
SHKRIBLIAK,58
SHULHAN,58
SIASTACZ,58
SIBA,58
SIEMIGINOWSKI,58
SIESTRZYKOWSKI,58
SIEWARGA,58
SILECKI,58
SITCHINAVA,58
SIUBIAK,58
SÎRBU,58
SKANDY,58
SKROBOSZ,58
SŁOBODZIŃSKI,58
SŁONAWSKI,58
SMUŁEK,58
SODOMA,58
SOKÓŁKA,58
SONNBERG,58
SOTOWSKI,58
STAMBUŁA,58
STEPANYAN,58
STODOŁA,58
STOKWISZEWSKI,58
STORA,58
STRACIŁO,58
STRZOPA,58
STRZYKALSKI,58
STUCZEŃ,58
STUPIEŃKO,58
SUFLITA,58
SUKHORUKOV,58
SUROŃ,58
SVYRYDOV,58
SWORSKI,58
SYDORÓW,58
SYGOWSKI,58
SZAFAŁOWICZ,58
SZANTULA,58
SZCZUBEŁ,58
SZEGLOWSKI,58
SZEN,58
SZEPETA,58
SZKORUDA,58
SZMIGIERA,58
SZNYR,58
SZPETKOWSKI,58
SZTACHERA,58
SZTURGULEWSKI,58
SZULEJ,58
SZULEWA,58
SZWEMIŃSKI,58
SZYCOWSKI,58
SZYLBERG,58
SZYNAWA,58
ŚWIĘCIKOWSKI,58
ŚWIĘTNICKI,58
TANASIICHUK,58
TARANOV,58
TATARKIEWICZ,58
TATROCKI,58
TECA,58
TERENTOWICZ,58
TIMCHENKO,58
TOMASZCZAK,58
TOMPOREK,58
TROKOWICZ,58
TRUBAJ,58
TRUTKOWSKI,58
TRYBURA,58
TRYLSKI,58
TUDELA,58
TUJEK,58
TULETA,58
TULISZEWSKI,58
TUMAN,58
TUNIEWICZ,58
TURAŃSKI,58
TURCZAŃSKI,58
TURONEK,58
TUZIKIEWICZ,58
TUZIN,58
TYBIŃKOWSKI,58
TYMUŁA,58
UHRUSKI,58
UMŁAWSKI,58
URBANSKI,58
USMANOV,58
USTASIAK,58
WACZKOWSKI,58
WAŁA,58
WARCHOŁEK,58
WARJAS,58
WAWRESZUK,58
WAWRĘTY,58
WEGERA,58
WEITZ,58
WENCŁAWEK,58
WERSZNER,58
WĘDEL,58
WIDNICKI,58
WIECZORKE,58
WILANOWICZ,58
WILLA,58
WILMOWICZ,58
WINCENCIUK,58
WITCZYŃSKI,58
WŁUDYGA,58
WOJSZNAROWICZ,58
WOJTOWSKI,58
WOLCZYŃSKI,58
WOLIN,58
WOŁKOWICKI,58
WOOD,58
WORETA,58
WYLANDOWSKI,58
WYRĘBKOWSKI,58
WYZINA,58
XIE,58
YUKHYMENKO,58
YURIICHUK,58
ZACHAŚ,58
ZAHRADNIK,58
